"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.56370173638491,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.53238996952243,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.56366506782955,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.5689015647861,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.60185629478085,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.49636272927127,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.63774513800324,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.58585599693654,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.61625014366385,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.59439719336634,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.73225016159672,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.6320531453813,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.58301335619616,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.65497679809038,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.44481868970427,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.56225883125667,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.63819924617957,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.57196078699786,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.35267209321365,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.5957077402152,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.57596493637424,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.52489715563452,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.59628892805573,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.54774397380335,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
8,2,-0.00408254620457554,9.99183490759085,NA,NA,NA,NA,NA,NA,9.65665699161047,0,9.62509934846622,0,"normal","I",22,500,0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",500,0.5,1e+05,FALSE,31
