"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","least_square_e","sub_least_square_e","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
10,0,0,0,9.42797668393331,8.73810245222876,7.85229849000105,0,8.99800352006301,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.60857231496374,7.85229849000105,0,8.24589700897089,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,10.4324587543383,7.85229849000105,0,6.9593516446014,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.33289071042014,7.85229849000105,0,7.54748046726011,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,7.6758726805376,7.85229849000105,0,8.5776854366278,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.59570253231898,7.85229849000105,0,6.21759386323471,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.51716204629165,7.85229849000105,0,6.75447245240098,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,8.78087128229971,7.85229849000105,0,9.1227026491981,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.37217691120805,7.85229849000105,0,6.3646884421011,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,8.34061296376379,7.85229849000105,0,9.31596331334023,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,10.2246504092088,7.85229849000105,0,7.62147695970887,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.91545693479547,7.85229849000105,0,8.14894004649153,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.19989317936074,7.85229849000105,0,7.80665540551828,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.1847164855649,7.85229849000105,0,8.546157960129,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,10.4175056153019,7.85229849000105,0,8.20253349031225,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,10.2076537734329,7.85229849000105,0,10.0868393928413,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.75808464482461,7.85229849000105,0,8.20076246762721,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.40933305998734,7.85229849000105,0,6.81184339844731,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,8.37539685729099,7.85229849000105,0,7.71987403163316,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.3623432628637,7.85229849000105,0,7.41661782133988,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.3655722567282,7.85229849000105,0,6.77046074821816,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
10,0,0,0,9.42797668393331,9.013350425496,7.85229849000105,0,10.4152114095872,0,"chi","I",50,500,0.5,0,0,0,FALSE,0,FALSE,0.5,"leave-d",200,0.5,1e+05,TRUE,314
