"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI","sub_EigenPrism_main","sub_EigenPrism_CI","GCTA_rr_main","sub_GCTA_rr_main","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","combine","d","bs","n_sub","rho_e","emp_n","i"
8,0,0,0,11.5839197540901,13.3849859113219,11.087119913423,13.6969855623709,12.8742937390309,13.2825368528143,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,13.5627629168299,13.5126265550898,12.8742937390309,13.2004196615802,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6331856367556,13.8169272723034,12.8742937390309,12.9811004313522,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.3294088272765,13.8492518554901,12.8742937390309,12.8031700394992,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.171951452496,12.9904093533985,12.8742937390309,12.7231782336457,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.8247435690936,13.8627213593131,12.8742937390309,12.3012448330706,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.5901959268015,13.7922549235414,12.8742937390309,13.1966097961126,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.033927739738,13.8005132519242,12.8742937390309,12.7269114569475,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.4883820367894,13.8591994671275,12.8742937390309,14.5930873678776,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.4261761211703,13.7765835594054,12.8742937390309,12.3537918086825,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.3717209108483,13.7634219938032,12.8742937390309,13.3610299697913,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.9607646001781,13.635283680991,12.8742937390309,13.803366388424,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.3233828499983,13.8355142708123,12.8742937390309,13.9063141922107,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.5319380747794,13.8639934028013,12.8742937390309,14.8217292669852,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.5235389064912,13.1270824053382,12.8742937390309,16.1455376936374,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,10.9629710803805,13.6318148198756,12.8742937390309,11.8403694135167,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6977047300229,13.8266231863843,12.8742937390309,12.8286436760058,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.323698793792,13.4293922445205,12.8742937390309,13.6012165476913,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.5818735228025,13.8514865408542,12.8742937390309,12.6218928457603,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,8.70938383486431,12.3312485791018,12.8742937390309,8.70583785978948,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.7003908200615,13.8001030986614,12.8742937390309,12.6431047794326,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.8911113335801,13.8164515108383,12.8742937390309,12.7010000746354,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6494316877026,13.9036274366376,12.8742937390309,12.4764672657711,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.8449699080034,13.8381223111041,12.8742937390309,12.9789904971493,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6917716554906,13.8264858480395,12.8742937390309,13.2646584627859,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.2043557060821,13.6230911134206,12.8742937390309,12.2855472800946,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.2076033005948,13.8085861502014,12.8742937390309,14.7323654853749,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,10.6015087006754,13.189483449288,12.8742937390309,11.6559557907426,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,9.33011795844319,12.869676217888,12.8742937390309,10.0270567391723,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.7318311159901,13.8121062460131,12.8742937390309,12.9427747246109,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,10.9918604605912,13.507912801195,12.8742937390309,11.8496641725146,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6795641272189,13.8703810807683,12.8742937390309,13.1109308271342,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.2836898986665,13.7551483901375,12.8742937390309,12.2265333690773,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.6771239915097,13.9049007253718,12.8742937390309,12.5094968876649,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,12.2945308680453,13.6221452269377,12.8742937390309,14.0774923962478,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.1410874322168,13.6466031922315,12.8742937390309,12.1899830139166,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
8,0,0,0,11.5839197540901,13.3849859113219,11.3883616507782,13.7491345257283,12.8742937390309,15.5590721339325,"normal","I",100,50,0.5,0,0,0,FALSE,FALSE,1,"leave-1",50,0.5,1e+05,90
