"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_main","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_main","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","i_1","i_2","i_1.1","i_2.1","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,15.3095091273741,0.765302829339293,29.853715425409,11.843230349431,0,13.0546002774077,0,3,4,3,4,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,16.1267172361549,1.81289232927873,30.4405421430312,11.843230349431,0,13.9512121805243,0,3,5,3,5,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,13.3754218233343,-0.242933079321073,26.9937767259897,11.843230349431,0,12.8103664011507,0,3,6,3,6,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,9.90666547584756,-1.74661060391106,21.5599415556062,11.843230349431,0,9.88312819177012,0,3,7,3,7,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,16.6047183965434,4.22688849967365,28.9825482934132,11.843230349431,0,9.64209533950211,0,3,8,3,8,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,8.35770946286202,-1.31106776098994,18.026486686714,11.843230349431,0,11.2944708089039,0,3,9,3,9,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,15.1215229718135,0.166527740900749,30.0765182027263,11.843230349431,0,10.6784775662867,0,3,10,3,10,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,17.7650794129993,2.83718415956339,32.6929746664353,11.843230349431,0,13.8502972023646,0,4,5,4,5,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,14.828118400308,0.595457643599191,29.0607791570167,11.843230349431,0,12.5147648240045,0,4,6,4,6,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
8,0,0,0,12.3149292430357,1.55179114178847,23.078067344283,10.9633530202986,-1.4815636643381,23.4082697049354,11.843230349431,0,9.96973701049838,0,4,7,4,7,"normal","I",21,10,0.5,0,0,0,FALSE,0,FALSE,1012,"leave-1-2",55,0.5,1e+05,FALSE,1
