"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","x_dist","structure","p","n","data_name","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.220406942226184,-0.0199173355594941,0.460731220011862,0.503400723114613,0,0.106412221757635,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.336676705372539,0.0920892861126484,0.581264124632429,0.503400723114613,0,0.271410271589712,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.143129978217455,-0.101680180554457,0.387940136989368,0.503400723114613,0,0.197978180697835,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.433886495091746,0.186582241517831,0.681190748665662,0.503400723114613,0,0.519720066450893,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.187098868125978,-0.0552228654492452,0.429420601701202,0.503400723114613,0,0.0925466505152589,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.456317504622849,0.216699965485606,0.695935043760092,0.503400723114613,0,0.401569297159588,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.51406009958215,0.271781309668651,0.756338889495649,0.503400723114613,0,0.281517755514536,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.532593511969779,0.291607512753583,0.773579511185975,0.503400723114613,0,0.574445293587406,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.301959755792642,0.0602964962458723,0.543623015339412,0.503400723114613,0,0.298937267811471,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
8,2,0.621633104446795,11.2432662088936,0.468661786183176,0.277172241047577,0.660151331318774,0.470651246402266,0.22291004306589,0.718392449738643,0.503400723114613,0,0.537875634307965,0,"1999","un",21,231,"1999",TRUE,TRUE,0.5,0,0.1,0,TRUE,0,0.5,"leave-d",50,0.5,4873,FALSE,25
