"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.0391121636861,14.4028779984936,31.6753463288785,20.1026902675084,0,19.1522235062507,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.948209434683,15.219907742101,32.6765111272651,20.1026902675084,0,20.1167177144339,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.4922779227407,14.8430400138192,32.1415158316622,20.1026902675084,0,19.9562570229737,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.7451011248894,15.0459913368608,32.444210912918,20.1026902675084,0,19.9322217429458,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.6936753346634,14.9765711118116,32.4107795575152,20.1026902675084,0,19.8286151200307,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.7314223353245,15.0154680327881,32.4473766378609,20.1026902675084,0,19.8814442891822,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,24.4082823641251,15.6029181157351,33.2136466125151,20.1026902675084,0,20.8725536654416,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,22.7579826252239,14.1368585751578,31.37910667529,20.1026902675084,0,18.7701972597348,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,13.6581280467015,7.29052921870578,20.0257268746973,20.1026902675084,0,8.46370485958547,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
8,2,0.621633104446795,11.2432662088936,23.7643348298161,15.1004123177503,32.428257341882,23.5578351982529,14.8728113151138,32.2428590813919,20.1026902675084,0,19.6104824047464,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,51
