"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","EigenPrism_total","EigenPrism_CI1","EigenPrism_CI2","sub_EigenPrism_total","sub_EigenPrism_CI1","sub_EigenPrism_CI2","GCTA_total","GCTA_inter","sub_GCTA_total","sub_GCTA_inter","x_dist","structure","p","n","emp","combine","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.615944269157,5.61977945895966,15.6121090793544,11.2528605165765,0,11.3220023192432,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5899769022117,5.60156745130898,15.5783863531144,11.2528605165765,0,11.2385279166566,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.789096674839,5.80541249237619,15.7727808573019,11.2528605165765,0,11.3559873847222,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6652612107642,5.65488035249407,15.6756420690344,11.2528605165765,0,11.345263117898,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.511922777367,5.51108075433217,15.5127648004019,11.2528605165765,0,11.2262771269056,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,11.4176669189715,6.4369276351632,16.3984062027798,11.2528605165765,0,11.8932691256597,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,11.1422959486275,6.15370855438844,16.1308833428666,11.2528605165765,0,11.4998056292018,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6056598768645,5.60848115788081,15.6028385958482,11.2528605165765,0,11.3065109643975,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,11.3218456751188,6.3141111602832,16.3295801899545,11.2528605165765,0,11.7159208234228,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.4788536884422,5.48310460548121,15.4746027714031,11.2528605165765,0,11.2171207051738,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5190640941829,5.52158561254868,15.516542575817,11.2528605165765,0,11.2253913887198,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5191395489446,5.51770053315401,15.5205785647351,11.2528605165765,0,11.2544166913207,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.7983876595743,5.82387233887267,15.7729029802758,11.2528605165765,0,11.310010688185,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5425429255017,5.54118058855802,15.5439052624453,11.2528605165765,0,11.2457729482655,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6350088108472,5.62745602842207,15.6425615932724,11.2528605165765,0,11.330616763347,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.4707322948331,5.51645122521544,15.4250133644507,11.2528605165765,0,11.1732666692447,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5103592911087,5.50679876028382,15.5139198219335,11.2528605165765,0,11.2973331855877,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.581810467285,5.58163876806145,15.5819821665086,11.2528605165765,0,11.2994788731785,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.6188331655827,5.62140932818,15.6162570029853,11.2528605165765,0,11.2716946323425,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.5269330396005,5.52658806474399,15.5272780144569,11.2528605165765,0,11.2369743096293,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.2897082731704,5.30980011431376,15.269616432027,11.2528605165765,0,11.1174214676817,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.3976628188528,5.43030098959597,15.3650246481096,11.2528605165765,0,11.3144448564418,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
8,2,1.83697771289037,13.6739554257808,10.5603070755876,5.59258648238486,15.5280276687903,10.491474052438,5.4833111958672,15.4996369090087,11.2528605165765,0,11.3440722000214,0,"chi","un",21,200,TRUE,TRUE,0.5,0,0.1,0,TRUE,0,101,"leave-1",200,0.5,1e+05,FALSE,1
