"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","h_EigenPrism_total","h_EigenPrism_CI1","h_EigenPrism_CI2","sub_h_EigenPrism_total","sub_h_EigenPrism_CI1","sub_h_EigenPrism_CI2","sub_h_EigenPrism_total.1","sub_h_EigenPrism_CI1.1","sub_h_EigenPrism_CI2.1","sub_sub_h_EigenPrism_total","sub_sub_h_EigenPrism_CI1","sub_sub_h_EigenPrism_CI2","h_GCTA_total","h_GCTA_inter","sub_h_GCTA_total","sub_h_GCTA_inter","sub_h_GCTA_total.1","sub_h_GCTA_inter.1","sub_sub_h_GCTA_total","sub_sub_h_GCTA_inter","x_dist","structure","p","n","data_name","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","decor","interact","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61880586205304,1.16350442921498,2.0741072948911,1.61880586205304,1.16350442921498,2.0741072948911,1.5377045014135,0,1.5377045014135,0,1.48725570773605,0,1.48725570773605,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.57636204181136,1.12121526709334,2.03150881652939,1.57636204181136,1.12121526709334,2.03150881652939,1.5377045014135,0,1.5377045014135,0,1.44550725874087,0,1.44550725874087,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.60645683530005,1.15127233631481,2.0616413342853,1.60645683530005,1.15127233631481,2.0616413342853,1.5377045014135,0,1.5377045014135,0,1.46576003962219,0,1.46576003962219,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62471891727912,1.16885842492197,2.08057940963627,1.62471891727912,1.16885842492197,2.08057940963627,1.5377045014135,0,1.5377045014135,0,1.48500822830054,0,1.48500822830054,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62683047928615,1.17179270260772,2.08186825596459,1.62683047928615,1.17179270260772,2.08186825596459,1.5377045014135,0,1.5377045014135,0,1.51470753479769,0,1.51470753479769,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.64963937276719,1.19452780137182,2.10475094416255,1.64963937276719,1.19452780137182,2.10475094416255,1.5377045014135,0,1.5377045014135,0,1.5781377923017,0,1.5781377923017,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.58964663726622,1.13448173101825,2.0448115435142,1.58964663726622,1.13448173101825,2.0448115435142,1.5377045014135,0,1.5377045014135,0,1.44881271443863,0,1.44881271443863,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62518780840978,1.16986830429303,2.08050731252653,1.62518780840978,1.16986830429303,2.08050731252653,1.5377045014135,0,1.5377045014135,0,1.52866684557759,0,1.52866684557759,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.59756304702689,1.14073880471909,2.05438728933469,1.59756304702689,1.14073880471909,2.05438728933469,1.5377045014135,0,1.5377045014135,0,1.47342653883425,0,1.47342653883425,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.629838952201,1.17462472092572,2.08505318347628,1.629838952201,1.17462472092572,2.08505318347628,1.5377045014135,0,1.5377045014135,0,1.5141082811867,0,1.5141082811867,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.128202759584,0.715145296710629,1.54126022245738,1.128202759584,0.715145296710629,1.54126022245738,1.5377045014135,0,1.5377045014135,0,1.02011600501394,0,1.02011600501394,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.64284808721572,1.18761985707711,2.09807631735433,1.64284808721572,1.18761985707711,2.09807631735433,1.5377045014135,0,1.5377045014135,0,1.50398293534949,0,1.50398293534949,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.62202154409067,1.16687629101655,2.07716679716479,1.62202154409067,1.16687629101655,2.07716679716479,1.5377045014135,0,1.5377045014135,0,1.48317538549893,0,1.48317538549893,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61689835828131,1.16174788993622,2.07204882662639,1.61689835828131,1.16174788993622,2.07204882662639,1.5377045014135,0,1.5377045014135,0,1.4777601291375,0,1.4777601291375,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.61338797907188,1.15839971377631,2.06837624436745,1.61338797907188,1.15839971377631,2.06837624436745,1.5377045014135,0,1.5377045014135,0,1.48055001414787,0,1.48055001414787,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
8,2,0.621633104446795,11.2432662088936,1.62340584024065,1.1688873224344,2.07792435804689,1.62340584024065,1.1688873224344,2.07792435804689,1.64717860557892,1.18589209863798,2.10846511251987,1.64717860557892,1.18589209863798,2.10846511251987,1.5377045014135,0,1.5377045014135,0,1.52048290054777,0,1.52048290054777,0,"1999","un",21,150,"1999",0.5,0,0.1,0,FALSE,0,TRUE,101,"leave-1",150,0.5,4873,FALSE,2
